model,regularization,lambda,error,rmse,activation_fn
"[11, 10, 20, 1]",None,0,8.857701846752065,4.433120574061298,relu
"[11, 10, 20, 1]",L1,0.01,4.871836504310465,3.203131045290635,relu
"[11, 10, 20, 1]",L2,0.01,3.8119728161078013,2.819686259934257,relu
"[11, 10, 20, 1]",L1,0.1,1.15750092642171,1.5862448719845723,relu
"[11, 10, 20, 1]",L2,0.1,0.017316209808665203,0.17663983124841665,relu
"[11, 10, 20, 1]",L1,0.5,0.048803943405210305,0.29594304367245416,relu
"[11, 10, 20, 1]",L2,0.5,1.2730959681138547,1.620506454970295,relu
"[11, 50, 30, 1]",None,0,0.5124309730386913,1.0205479805601796,relu
"[11, 50, 30, 1]",L1,0.01,0.7844060504348863,1.3031440003201507,relu
"[11, 50, 30, 1]",L2,0.01,0.43283714796459033,0.9021416489450572,relu
"[11, 50, 30, 1]",L1,0.1,0.10748188596791942,0.47929391856509046,relu
"[11, 50, 30, 1]",L2,0.1,1.0631668541588648,1.481196021852407,relu
"[11, 50, 30, 1]",L1,0.5,1.4111675952387726,1.7081123772765905,relu
"[11, 50, 30, 1]",L2,0.5,1.8244416142582636,1.8623182388495518,relu
"[11, 10, 20, 1]",None,0,0.09178412090346318,0.41926742565167013,tanh
"[11, 10, 20, 1]",L1,0.01,0.13759158210094108,0.5268350816253744,tanh
"[11, 10, 20, 1]",L2,0.01,0.04120682216577773,0.2528622437141634,tanh
"[11, 10, 20, 1]",L1,0.1,0.033952392324085305,0.17129731998870312,tanh
"[11, 10, 20, 1]",L2,0.1,0.035454816504116304,0.12498016582763836,tanh
"[11, 10, 20, 1]",L1,0.5,0.08848162983550484,0.25380394984374094,tanh
"[11, 10, 20, 1]",L2,0.5,0.2179855678955475,0.5073731139877887,tanh
"[11, 50, 30, 1]",None,0,0.026345472434691892,0.2990249742329575,tanh
"[11, 50, 30, 1]",L1,0.01,0.025866127932758668,0.2329000102201911,tanh
"[11, 50, 30, 1]",L2,0.01,0.026542718280109366,0.32742319994662,tanh
"[11, 50, 30, 1]",L1,0.1,0.882177709442337,1.3279226765550898,tanh
"[11, 50, 30, 1]",L2,0.1,0.034360304072559994,0.19842337683746764,tanh
"[11, 50, 30, 1]",L1,0.5,0.2555262000626898,0.6498836871693784,tanh
"[11, 50, 30, 1]",L2,0.5,0.4778640114309596,0.9313380072006419,tanh
"[11, 10, 20, 1]",None,0,0.27535886819773053,0.7612943630786541,relu
"[11, 10, 20, 1]",L1,0.01,0.0641890563690587,0.37067649018262516,relu
"[11, 10, 20, 1]",L2,0.01,0.06451090686213176,0.3551701126709253,relu
"[11, 10, 20, 1]",L1,0.1,1.4623117579725045,1.698075053688767,relu
"[11, 10, 20, 1]",L2,0.1,0.052692620589203654,0.32488376505259386,relu
"[11, 10, 20, 1]",L1,0.5,0.02576919692580259,0.19789416149113387,relu
"[11, 10, 20, 1]",L2,0.5,0.5217401732361727,1.0726001557208111,relu
"[11, 50, 30, 1]",None,0,0.5541678485504862,1.0639695130065743,relu
"[11, 50, 30, 1]",L1,0.01,0.25499119339203496,0.7118456063776342,relu
"[11, 50, 30, 1]",L2,0.01,3.6522374094686505,2.6847079178292614,relu
"[11, 50, 30, 1]",L1,0.1,0.4180312642470156,0.9446897598523919,relu
"[11, 50, 30, 1]",L2,0.1,0.877506824686406,1.2931203496525838,relu
"[11, 50, 30, 1]",L1,0.5,0.5978744529483154,1.0631330511397676,relu
"[11, 50, 30, 1]",L2,0.5,0.6331871011990019,1.127438793831146,relu
"[11, 10, 20, 1]",None,0,0.06090782037721747,0.3309535954003946,tanh
"[11, 10, 20, 1]",L1,0.01,0.024443639090505183,0.19517241325158854,tanh
"[11, 10, 20, 1]",L2,0.01,0.049396719365736745,0.2703422189768578,tanh
"[11, 10, 20, 1]",L1,0.1,0.07133332423569355,0.3253182859514302,tanh
"[11, 10, 20, 1]",L2,0.1,0.06674681966704356,0.28314854813438345,tanh
"[11, 10, 20, 1]",L1,0.5,0.301483073680416,0.6878829754530117,tanh
"[11, 10, 20, 1]",L2,0.5,0.25991241408071936,0.6248721082463066,tanh
"[11, 50, 30, 1]",None,0,0.028071739203170305,0.266240795822077,tanh
"[11, 50, 30, 1]",L1,0.01,0.10864104815206961,0.49767335054601786,tanh
"[11, 50, 30, 1]",L2,0.01,0.04045909815266439,0.284854656734196,tanh
"[11, 50, 30, 1]",L1,0.1,0.02878110440619452,0.21518142522767358,tanh
"[11, 50, 30, 1]",L2,0.1,0.03339754337376188,0.14296427794378136,tanh
"[11, 50, 30, 1]",L1,0.5,0.3160956462237361,0.719344543176219,tanh
"[11, 50, 30, 1]",L2,0.5,0.11632802508850665,0.3091083327385591,tanh
"[11, 10, 20, 1]",None,0,4.341954969461738,2.8902466760681715,relu
"[11, 10, 20, 1]",L1,0.01,1.9352350844515747,1.982472961906465,relu
"[11, 10, 20, 1]",L2,0.01,10.123720965823683,4.446842531048712,relu
"[11, 10, 20, 1]",L1,0.1,0.01525577402912773,0.16357674125110497,relu
"[11, 10, 20, 1]",L2,0.1,0.0338757818004341,0.2462797074219147,relu
"[11, 10, 20, 1]",L1,0.5,0.032124688030949394,0.2365445469634101,relu
"[11, 10, 20, 1]",L2,0.5,0.3588420445073713,0.8232928147262346,relu
"[11, 50, 30, 1]",None,0,0.6078672631552913,1.1270158993351245,relu
"[11, 50, 30, 1]",L1,0.01,0.7594968009922667,1.2522920492606728,relu
"[11, 50, 30, 1]",L2,0.01,0.23170554592641168,0.6996115768359447,relu
"[11, 50, 30, 1]",L1,0.1,0.19906867747622736,0.636909205281119,relu
"[11, 50, 30, 1]",L2,0.1,0.44503491619453317,0.9431637329553019,relu
"[11, 50, 30, 1]",L1,0.5,0.5501760880259691,1.0369540776368666,relu
"[11, 50, 30, 1]",L2,0.5,5.7289097092240295,3.4034020845626065,relu
"[11, 10, 20, 1]",None,0,0.054919600153852915,0.36271819355347296,tanh
"[11, 10, 20, 1]",L1,0.01,0.09630398451847749,0.3872053270753383,tanh
"[11, 10, 20, 1]",L2,0.01,0.10567024743070852,0.4456145978681906,tanh
"[11, 10, 20, 1]",L1,0.1,0.03595580236539802,0.19583398105429162,tanh
"[11, 10, 20, 1]",L2,0.1,0.06921955984258538,0.2918042115995091,tanh
"[11, 10, 20, 1]",L1,0.5,0.1168700435465659,0.3696892144891163,tanh
"[11, 10, 20, 1]",L2,0.5,0.38336106979658746,0.7919018010160587,tanh
"[11, 50, 30, 1]",None,0,0.029243178796754157,0.2609051260778053,tanh
"[11, 50, 30, 1]",L1,0.01,0.08236403209881529,0.3786561798818212,tanh
"[11, 50, 30, 1]",L2,0.01,0.04436820299874497,0.3431526043473146,tanh
"[11, 50, 30, 1]",L1,0.1,0.417577892881024,0.867429440371288,tanh
"[11, 50, 30, 1]",L2,0.1,0.6213656803564708,1.1159149646385689,tanh
"[11, 50, 30, 1]",L1,0.5,0.1678693358511631,0.45790584229690046,tanh
"[11, 50, 30, 1]",L2,0.5,0.43571485956398465,0.8781493334042836,tanh
"[11, 10, 20, 1]",None,0,0.676869722142483,1.1710578898814867,relu
"[11, 10, 20, 1]",L1,0.01,0.1402794753716102,0.5312398140690674,relu
"[11, 10, 20, 1]",L2,0.01,0.009807255458610704,0.14699397668236394,relu
"[11, 10, 20, 1]",L1,0.1,4.875783247403857,3.0867319105769213,relu
"[11, 10, 20, 1]",L2,0.1,2.726339669941003,2.2527340745976905,relu
"[11, 10, 20, 1]",L1,0.5,0.02938058158955944,0.22053945676710596,relu
"[11, 10, 20, 1]",L2,0.5,0.31104539908306883,0.7821762569796799,relu
"[11, 50, 30, 1]",None,0,0.20950649628552953,0.6611775459258679,relu
"[11, 50, 30, 1]",L1,0.01,0.25978888058850114,0.7205941626476922,relu
"[11, 50, 30, 1]",L2,0.01,0.15879422039094596,0.5720783767298382,relu
"[11, 50, 30, 1]",L1,0.1,1.9151545010790767,2.085517600424941,relu
"[11, 50, 30, 1]",L2,0.1,0.5825292198181948,1.101145655962264,relu
"[11, 50, 30, 1]",L1,0.5,0.364769672382517,0.8711865234602303,relu
"[11, 50, 30, 1]",L2,0.5,0.5657010458318776,1.0888362946413626,relu
"[11, 10, 20, 1]",None,0,0.07678443513246212,0.35471422052401835,tanh
"[11, 10, 20, 1]",L1,0.01,0.01808496539361648,0.11251418462526476,tanh
"[11, 10, 20, 1]",L2,0.01,0.04438651975268741,0.2585001285886252,tanh
"[11, 10, 20, 1]",L1,0.1,0.02985162524353518,0.16482938691216548,tanh
"[11, 10, 20, 1]",L2,0.1,0.06451696438243554,0.26737723876923475,tanh
"[11, 10, 20, 1]",L1,0.5,0.32598381639143287,0.7542123035090438,tanh
"[11, 10, 20, 1]",L2,0.5,0.34766422663264007,0.7559327620752205,tanh
"[11, 50, 30, 1]",None,0,0.022598874936843278,0.176934736764425,tanh
"[11, 50, 30, 1]",L1,0.01,0.0157024945613401,0.1822973989906127,tanh
"[11, 50, 30, 1]",L2,0.01,0.030987097658910962,0.31441386122286896,tanh
"[11, 50, 30, 1]",L1,0.1,0.34442145129166046,0.7960707464347669,tanh
"[11, 50, 30, 1]",L2,0.1,0.07724372486725858,0.31988647262322467,tanh
"[11, 50, 30, 1]",L1,0.5,0.30599901799173723,0.7229208251817738,tanh
"[11, 50, 30, 1]",L2,0.5,0.6199384219028033,1.0738401342998631,tanh
"[11, 10, 20, 1]",None,0,27.46595843759805,7.4402984632964575,relu
"[11, 10, 20, 1]",L1,0.01,nan,nan,relu
"[11, 10, 20, 1]",L2,0.01,nan,nan,relu
"[11, 10, 20, 1]",L1,0.1,11.387275723852087,4.8709167986988975,relu
"[11, 10, 20, 1]",L2,0.1,413368500.1888618,7.428668283992981,relu
"[11, 10, 20, 1]",L1,0.5,5.808062610405117,3.3818220301108894,relu
"[11, 10, 20, 1]",L2,0.5,nan,nan,relu
"[11, 50, 30, 1]",None,0,27.461391782024876,7.433811283585929,relu
"[11, 50, 30, 1]",L1,0.01,nan,nan,relu
"[11, 50, 30, 1]",L2,0.01,3702.9764560947897,7.440149985162839,relu
"[11, 50, 30, 1]",L1,0.1,nan,nan,relu
"[11, 50, 30, 1]",L2,0.1,27.743901815397727,7.431782491413726,relu
"[11, 50, 30, 1]",L1,0.5,27.47004196763906,7.437066050591799,relu
